10 gens, 10 orgs
2,4,1
2,5,1
1,1,-nan
2,4,1
4,7,1
3,5,1
4,6,1
2,3,1
3,6,1
3,6,1
2,3,1
1,1,-nan
2,3,1
3,5,1
3,6,1
3,5,1
3,8,1
2,3,1
3,6,1
3,6,1
1,3,-nan
2,2,1
2,3,1
4,5,0.5
3,4,1
3,3,0.333333
2,2,1
3,7,1
1,2,-nan
4,5,0.5
2,6,1
4,5,0.5
2,4,1
2,2,1
3,6,1
2,4,1
2,3,1
2,4,1
2,5,1
5,7,0.631579
4,8,1
1,1,-nan
2,4,1
3,4,1
2,3,1
2,2,1
2,4,1
2,4,1
2,4,1
2,4,1
3,6,1
1,3,-nan
2,4,1
3,5,1
2,6,1
1,1,-nan
2,3,1
4,8,1
3,6,1
2,4,1
2,5,1
4,7,1
2,5,1
3,6,1
2,4,1
2,2,1
2,4,1
3,5,1
2,4,1
4,5,0.5
2,2,1
2,3,1
3,3,0.333333
1,3,-nan
2,3,1
3,6,1
3,5,1
3,5,1
2,3,1
2,7,1
3,5,1
3,5,1
3,7,1
3,8,1
2,5,1
2,2,1
2,4,1
3,5,1
4,6,1
2,3,1
2,3,1
2,2,1
2,3,1
2,3,1
4,4,0.1
4,5,0.5
3,4,1
3,5,1
2,2,1
2,2,1

10 gens, 100 orgs
21,37,0.999749
16,31,1
20,41,1
16,36,1
19,39,1
23,36,0.96947
16,28,0.996354
12,25,1
18,31,0.996929
17,35,1
19,36,1
14,29,1
20,35,0.9994
19,34,0.999684
15,32,1
20,38,1
19,31,0.98264
26,47,0.999998
19,36,1
21,39,0.999992
18,30,0.989096
21,40,1
17,33,1
18,35,1
13,27,1
18,33,0.999862
13,23,0.992974
14,30,1
19,36,1
20,36,0.99987
13,28,1
16,33,1
18,35,1
19,37,1
20,34,0.997584
15,35,1
14,28,1
17,39,1
18,32,0.999258
20,37,0.999978
20,38,1
21,37,0.999749
19,35,0.999944
20,37,0.999978
16,36,1
13,28,1
18,33,0.999862
21,42,1
21,37,0.999749
18,35,1
17,33,1
15,32,1
17,36,1
15,34,1
16,30,1
14,33,1
18,36,1
14,23,0.951559
19,34,0.999684
20,37,0.999978
16,37,1
18,35,1
21,35,0.995949
15,29,1
16,30,1
20,42,1
23,40,0.999812
16,31,1
18,36,1
21,40,1
19,38,1
12,28,1
23,37,0.989705
16,29,0.99925
20,39,1
18,33,0.999862
15,31,1
25,42,0.999417
15,34,1
18,36,1
16,28,0.996354
14,31,1
16,34,1
14,27,1
18,37,1
12,29,1
19,37,1
17,30,0.998322
20,35,0.9994
15,34,1
19,35,0.999944
17,36,1
14,29,1
21,33,0.960575
20,32,0.973387
16,31,1
21,41,1
20,35,0.9994
14,31,1
20,39,1

10 gens, 1000 orgs
131,246,1
157,274,1
153,273,1
154,280,1
152,284,1
163,286,1
155,259,1
144,249,1
142,237,1
165,292,1
158,278,1
174,280,1
151,267,1
157,276,1
146,265,1
164,270,1
156,256,1
153,266,1
144,253,1
160,284,1
138,257,1
129,232,1
159,285,1
142,232,1
143,247,1
155,267,1
148,245,1
158,264,1
151,257,1
166,286,1
159,280,1
162,271,1
164,284,1
167,302,1
147,262,1
161,269,1
147,273,1
157,286,1
166,301,1
151,262,1
157,278,1
170,301,1
144,253,1
145,259,1
145,257,1
162,265,1
142,246,1
164,274,1
171,294,1
151,276,1
162,285,1
155,274,1
146,259,1
135,242,1
147,261,1
156,276,1
147,268,1
155,272,1
170,303,1
153,255,1
160,277,1
136,242,1
145,254,1
125,230,1
168,293,1
160,287,1
145,267,1
148,244,1
170,299,1
159,290,1
154,272,1
138,256,1
172,275,1
157,282,1
153,264,1
147,272,1
164,276,1
163,290,1
155,291,1
148,247,1
164,289,1
151,269,1
175,278,1
153,273,1
154,266,1
160,290,1
165,288,1
169,284,1
143,267,1
154,267,1
168,288,1
170,293,1
153,259,1
145,271,1
157,275,1
164,298,1
141,260,1
162,281,1
147,272,1
161,271,1
